[Rel: 35886]: super-relations are not supported yet. ref: 903630
[no data] missing stop node. rel: https://osm.org/relation/6079855 node: https://osm.org/node/4078150765.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399139956.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596094.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432596095.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38347907.
[no data] missing stop node. rel: https://osm.org/relation/3385101 node: https://osm.org/node/307922059.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448076.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448077.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448098.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334628020.
[no data] missing stop node. rel: https://osm.org/relation/3385699 node: https://osm.org/node/292406454.
[no data] missing stop node. rel: https://osm.org/relation/7188638 node: https://osm.org/node/1036584118.
[no data] missing stop node. rel: https://osm.org/relation/3247370 node: https://osm.org/node/419349695.
[no data] missing stop node. rel: https://osm.org/relation/6548879 node: https://osm.org/node/338961602.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448141.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448143.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38347985.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/305448148.
[no data] missing stop node. rel: https://osm.org/relation/3250566 node: https://osm.org/node/419349729.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334628074.
[no data] missing stop node. rel: https://osm.org/relation/5732268 node: https://osm.org/node/2567595270.
[no data] missing stop node. rel: https://osm.org/relation/120458 node: https://osm.org/node/2567595271.
[no data] missing stop node. rel: https://osm.org/relation/5732268 node: https://osm.org/node/2567595272.
[no data] missing stop node. rel: https://osm.org/relation/120458 node: https://osm.org/node/2567595273.
[no data] missing stop node. rel: https://osm.org/relation/3199938 node: https://osm.org/node/430056711.
[no data] missing stop node. rel: https://osm.org/relation/3199939 node: https://osm.org/node/430056710.
[no data] missing stop node. rel: https://osm.org/relation/69936 node: https://osm.org/node/618333454.
[no data] missing stop node. rel: https://osm.org/relation/3169261 node: https://osm.org/node/359564573.
[no data] missing stop node. rel: https://osm.org/relation/6079855 node: https://osm.org/node/3751298359.
[no data] missing stop node. rel: https://osm.org/relation/6079855 node: https://osm.org/node/3751298360.
[no data] missing stop node. rel: https://osm.org/relation/6065321 node: https://osm.org/node/2961990969.
[no data] missing stop node. rel: https://osm.org/relation/6073151 node: https://osm.org/node/2961990970.
[no data] missing stop node. rel: https://osm.org/relation/6073151 node: https://osm.org/node/2961990971.
[no data] missing stop node. rel: https://osm.org/relation/422973 node: https://osm.org/node/847021373.
[no data] missing stop node. rel: https://osm.org/relation/422973 node: https://osm.org/node/847021382.
[no data] missing stop node. rel: https://osm.org/relation/68320 node: https://osm.org/node/333194579.
[no data] missing stop node. rel: https://osm.org/relation/69916 node: https://osm.org/node/459998566.
[no data] missing stop node. rel: https://osm.org/relation/69754 node: https://osm.org/node/433055081.
[no data] missing stop node. rel: https://osm.org/relation/69754 node: https://osm.org/node/438445421.
[no data] missing stop node. rel: https://osm.org/relation/69754 node: https://osm.org/node/438445422.
[no data] missing stop node. rel: https://osm.org/relation/69754 node: https://osm.org/node/433055088.
[no data] missing stop node. rel: https://osm.org/relation/70043 node: https://osm.org/node/4268057968.
[no data] missing stop node. rel: https://osm.org/relation/69916 node: https://osm.org/node/459924865.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38348167.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/441730458.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/429327773.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/429327775.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640040.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38348201.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640042.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640043.
[no data] missing stop node. rel: https://osm.org/relation/69270 node: https://osm.org/node/2567603627.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640045.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640046.
[no data] missing stop node. rel: https://osm.org/relation/69270 node: https://osm.org/node/2567603628.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640048.
[no data] missing stop node. rel: https://osm.org/relation/69754 node: https://osm.org/node/433055151.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666611.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640051.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640056.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640058.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/726640059.
[no data] missing stop node. rel: https://osm.org/relation/68320 node: https://osm.org/node/333194703.
[no data] missing stop node. rel: https://osm.org/relation/71150 node: https://osm.org/node/428975568.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/1376847350.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/1376847355.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/1376847358.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/1376847361.
[no data] missing stop node. rel: https://osm.org/relation/3169261 node: https://osm.org/node/359564812.
[no data] missing stop node. rel: https://osm.org/relation/3199939 node: https://osm.org/node/459998738.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559073.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559076.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559079.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666728.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559090.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/369559093.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684669.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684670.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684671.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684672.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684673.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684674.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684675.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684676.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684677.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/663684678.
[no data] missing stop node. rel: https://osm.org/relation/70035 node: https://osm.org/node/433014357.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/369559132.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/433014367.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/367666786.
[no data] missing stop node. rel: https://osm.org/relation/35886 node: https://osm.org/node/300598888.
[no data] missing stop node. rel: https://osm.org/relation/8047747 node: https://osm.org/node/369559147.
[no data] missing stop node. rel: https://osm.org/relation/6634158 node: https://osm.org/node/433014380.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/457041518.
[no data] missing stop node. rel: https://osm.org/relation/421622 node: https://osm.org/node/583575151.
