shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
450854.01450854,49.3461046,7.0488156,6
450854.01450854,49.3467801,7.0477868,7
450872.01450872,49.3690498,7.0884341,0
450872.01450872,49.3689057,7.0882643,1
450872.01450872,49.3569669,7.1280516,2
450872.01450872,49.3541815,7.1230464,3
538221.01538221,49.3222729,7.0960934,0
538221.01538221,49.3236275,7.0820973,1
538255.01538255,49.2943098,6.9532136,0
538255.01538255,49.2913418,6.9289392,1
538255.01538255,49.2938178,6.9310023,2
538255.01538255,49.2939148,6.9310947,3
538255.01538255,49.2951831,6.933928,4
538255.01538255,49.2953187,6.9343594,5
721798.01721798,49.3124178,7.0685655,0
721798.01721798,49.3181062,7.0768195,1
721798.01721798,49.3149736,7.0727241,2
721798.01721798,49.234208,6.9935,3
721798.01721798,49.234814,6.996053,4
721798.01721798,49.3026456,7.0335637,5
812457.01812457,49.3743851,7.1867711,0
812457.01812457,49.3742857,7.1868975,1
910005.01910005,49.3570217,7.1832366,0
910005.01910005,49.356965,7.182431,1
910012.01910012,49.3130005,7.2601989,0
910012.01910012,49.3156678,7.2716127,1
910012.01910012,49.3169731,7.2776373,2
910012.01910012,49.3099411,7.3163033,3
911939.01911939,49.2406884,6.946727,0
911939.01911939,49.2412431,6.9495908,1
911939.01911939,49.2414277,6.9502077,2
920473.01920473,49.3034231,6.8055809,0
920473.01920473,49.3031045,6.8065294,1
920473.01920473,49.3032628,6.8143459,2
920473.01920473,49.3029725,6.8137214,3
920473.01920473,49.3047482,6.81855,4
920473.01920473,49.304793,6.8186699,5
920473.01920473,49.3072009,6.8231488,6
920473.01920473,49.3074754,6.8229711,7
940080.01940080,49.2269604,7.0210964,0
940080.01940080,49.225547,7.026316,1
940080.01940080,49.2286788,7.0363577,2
940080.01940080,49.225947,7.03546,3
940080.01940080,49.225668,7.027119,4
940080.01940080,49.2271664,7.0211791,5
940082.01940082,49.233907,7.0361634,0
940082.01940082,49.235725,7.0356811,1
940082.01940082,49.2376798,7.036372,2
940082.01940082,49.2376784,7.0433047,3
940082.01940082,49.2379171,7.0459766,4
940082.01940082,49.2368525,7.048956,5
940082.01940082,49.2353505,7.0499108,6
940082.01940082,49.2328261,7.0499522,7
940082.01940082,49.2323474,7.0437638,8
940082.01940082,49.2328929,7.0390752,9
940082.01940082,49.2306084,7.0323791,10
940082.01940082,49.2284715,7.029024,11
942855.01942855,49.2493779,6.8485102,0
942855.01942855,49.2494574,6.8483298,1
